Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
LEN,0.18496666,1.34954140,0.02882102
LH,0.20769547,1.13140746,0.01876424
LHX,0.26918676,1.31051298,0.01952188
LI,-0.16365587,-1.45776073,0.04023574
LII,0.28760497,1.75717812,0.02607334
LIN,0.30376139,1.30762806,0.01560171
LITE,0.22202661,2.58485580,0.04504898
LKQ,0.25447006,1.51253307,0.02279910
LLY,-0.20574876,-1.65716602,0.02714325
LMT,0.09673689,0.44782016,0.01732117
LNG,0.50526216,3.49310989,0.01988867
LNT,0.18346332,0.89410488,0.01698948
LOW,0.29635010,1.40948779,0.01832352
LPLA,0.25211168,1.58174597,0.02232146
LQD,-0.00958984,-0.01369665,0.00593070
LRCX,0.27439721,2.66967298,0.03420623
LSCC,0.11122225,1.09585696,0.04158515
LULU,0.01663600,0.14808303,0.03174470
LUV,-0.12932842,-0.95464285,0.02542584
LVS,-0.33544870,-2.88258075,0.02946687
LW,-0.27826960,-2.34638092,0.04766467
LYB,0.30422461,1.54335352,0.02061084
LYFT,-0.02772100,-0.33206613,0.04871647
LYV,0.25625195,1.22710684,0.01974032
MA,0.04067610,0.16846615,0.01598396
MAA,-0.00873849,-0.04565680,0.02025785
MANH,0.06566984,0.45192836,0.02828816
MAR,0.05957149,0.25930310,0.01848719
MAS,0.39043810,2.24574183,0.02030559
MASI,0.07157531,0.59905423,0.02909709
MBB,-0.00031326,-0.00044127,0.00546308
MBLY,-0.22488490,-5.01784811,0.08153233
MCD,-0.23390874,-1.00676550,0.01631718
MCHI,0.02999096,0.13189969,0.01764685
MCHP,0.06378471,0.51585871,0.03525093
MCK,0.21790322,1.16860728,0.01916162
MCO,0.03668343,0.20549585,0.01906490
MDB,0.08442573,0.89975331,0.04960948
MDGL,-0.07616482,-1.30619787,0.04717834
MDLZ,-0.12427149,-0.66695089,0.01896154
MDT,0.40740574,2.41292344,0.01676538
MDY,0.26475555,1.00307091,0.01454627
MEDP,0.03171523,0.25796709,0.02953726
MELI,0.13816944,1.05685460,0.03126035
MET,0.27180090,1.52642885,0.02065362
META,0.07397008,0.62122858,0.02752594
MGK,0.06924842,0.34411914,0.01692031
MGM,-0.07818833,-0.58367895,0.02952173
MHK,0.39298867,2.79335771,0.02770685
MINT,0.63547006,0.06522896,0.00036585
MKC,-0.15606312,-0.82916557,0.01894064
MKSI,0.32353694,3.22955021,0.03484060
MKTX,-0.08929928,-0.52579618,0.02392114
MLM,0.28802149,1.56056875,0.02122834
MMC,0.11484236,0.47133031,0.01555084
MMM,0.40369763,2.14176182,0.01863180
MNDY,0.11611851,1.31092295,0.05123316
MNST,-0.25658416,-1.40860961,0.02034591
MO,-0.07481957,-0.29922399,0.01532000
MOAT,0.15946353,0.53693513,0.01222572
MOD,0.30314659,3.47135695,0.04760421
MOH,-0.00392054,-0.03248001,0.03034091
MOS,0.33539601,2.80700335,0.03181087
MPC,0.27881394,1.94712536,0.02570017
MPLX,0.27071237,1.28186077,0.01901226
MPWR,0.13923410,1.40088081,0.04153794
MRK,-0.05935253,-0.29845558,0.01885380
MRNA,-0.21824425,-4.58237265,0.07136644
MRVL,0.24064075,2.47706903,0.04237015
MS,0.36890989,2.59030773,0.02252782
MSCI,0.12759875,0.66568556,0.01909812
MSFT,0.12313044,0.63914361,0.01944701
MSI,0.07801043,0.31791700,0.01613164
MSTR,0.34611450,7.67089692,0.09935189
MTB,0.17454060,1.08752045,0.02302384
MTCH,0.04217627,0.29725406,0.03190803
MTD,0.19938093,1.54038867,0.02448034
MTUM,0.30065210,1.12790970,0.01465543
MTZ,0.27334746,2.63200753,0.03310992
MU,0.38763131,5.06549765,0.04991577
MUB,-0.10932764,-0.10563533,0.00345775
MUSA,-0.13108138,-0.88724985,0.02361522
NBIX,0.15402974,0.99156765,0.02304383
NCLH,0.13529041,1.21220992,0.03731763
NDAQ,0.10471346,0.47884705,0.01730822
NEE,-0.04085092,-0.24932343,0.02031508
NEM,0.32992477,2.10958380,0.02485438
NET,0.10533908,1.04896539,0.03627191
NFLX,-0.11988963,-0.78780864,0.02424620
NI,0.24933084,1.21172466,0.01627503
NICE,-0.16290599,-1.06053582,0.03120147
NIO,-0.07812940,-0.96496831,0.05464548
NKE,-0.17745912,-0.97699150,0.02435046
NLY,0.25486993,1.29231202,0.01802603
NOC,0.15742173,0.79521348,0.01806059
NOW,0.07339436,0.43612427,0.02500168
NRG,0.29288231,3.10966123,0.03492662
NSC,0.25533194,1.14518926,0.01978855
NTAP,0.25567196,1.44320685,0.02592461
NTES,0.36750723,3.37130844,0.02593842
NTNX,0.21997517,1.59686084,0.03167884
NTR,0.47911637,3.37633351,0.02364648
NTRA,-0.01733603,-0.22447429,0.03928075
NTRS,0.18148565,0.96920481,0.02011465
NU,0.23379830,2.10598244,0.03975809
NUE,0.27865336,2.17806383,0.03343340
NVDA,0.00243332,0.02909802,0.04138272
NVDL,-0.00288743,-0.06883883,0.08398505
NVO,-0.32195274,-2.58532139,0.03536615
NVR,0.16850011,1.17494837,0.02504369
NVS,0.03275777,0.10926614,0.01209865
NVT,0.19968649,1.48166890,0.02881035
NXPI,0.16008815,1.12177032,0.02845621
NXT,0.19070565,3.00680936,0.04850400
O,0.21328866,0.97035310,0.01747932
OC,0.28177773,2.06335839,0.02661750
ODFL,0.30384917,1.94357337,0.02688886
OKE,0.31491442,1.74229619,0.02144344
OKTA,0.32759184,2.61654151,0.03281246
OLLI,-0.01959909,-0.19392572,0.03614515
OMC,-0.05721842,-0.29245212,0.02321718
ON,-0.23219909,-2.86861850,0.04534989
ONON,0.12670355,1.22099218,0.03452577
ONTO,0.52420946,6.05502433,0.03553933
ORCL,-0.11566398,-0.66115575,0.02640427
ORLY,0.15866265,0.61711340,0.01677829
OTIS,0.18276585,0.69081427,0.01621711
OVV,0.32916664,2.41059744,0.02697733
OWL,0.09372119,0.80192130,0.03127018
OXY,0.19476510,1.08981025,0.02291565
PAAS,0.01231542,0.12083084,0.03618185
PANW,-0.05778073,-0.46806729,0.03188921
PATH,0.02377745,0.27271876,0.04564170
PAYC,0.14317832,0.97765864,0.02919240
