Date,Portfolio,VGT
12/21/2017,-0.000762846,-0.002516569
12/22/2017,-0.000444348,-0.001200472
12/26/2017,-0.00078738,-0.00697368
12/27/2017,0.001625405,0.001572816
12/28/2017,0.001785072,0.000911188
12/29/2017,-0.003616318,-0.005197438
1/2/2018,0.005119974,0.013661823
1/3/2018,0.007601162,0.0104172
1/4/2018,0.003227174,0.005753718
1/5/2018,0.008295276,0.01066665
1/8/2018,0.002362784,0.004781438
1/9/2018,0.00297661,-0.002556164
1/10/2018,-0.002925733,-0.003259375
1/11/2018,0.007619382,0.006540067
1/12/2018,0.006188538,0.005741176
1/16/2018,-0.003437125,-0.004500145
1/17/2018,0.011655254,0.015289156
1/18/2018,-0.002559438,0.002000537
1/19/2018,0.005087853,0.002106109
1/22/2018,0.007062226,0.007726417
1/23/2018,0.001864068,0.006087931
1/24/2018,-0.000866909,-0.008908886
1/25/2018,0.000641459,-0.002599365
1/26/2018,0.010223604,0.0158126
1/29/2018,-0.007837171,-0.008257559
1/30/2018,-0.010017532,-0.010016845
1/31/2018,0.001691352,0.007049315
2/1/2018,-0.001328163,-0.000736204
2/2/2018,-0.021289722,-0.028129208
2/5/2018,-0.039223444,-0.039115171
2/6/2018,0.016868054,0.025284532
2/7/2018,-0.004596895,-0.011207821
2/8/2018,-0.038488889,-0.041167803
2/9/2018,0.012514805,0.024141991
2/12/2018,0.014718135,0.017863175
2/13/2018,0.006220383,0.003107889
2/14/2018,0.016535905,0.020409072
2/15/2018,0.012557596,0.019302588
2/16/2018,4.59E-05,-0.002520047
2/20/2018,-0.002701213,0.002465093
2/21/2018,-0.002956242,-0.004973116
2/22/2018,0.00031933,0.000344264
2/23/2018,0.013551295,0.020347587
2/26/2018,0.008141344,0.014930767
2/27/2018,-0.012040966,-0.009162552
2/28/2018,-0.007145125,-0.006552154
3/1/2018,-0.015478035,-0.015734835
3/2/2018,0.008538573,0.011172089
3/5/2018,0.009020174,0.010255137
3/6/2018,0.006942024,0.003363693
3/7/2018,0.002913936,0.006316406
3/8/2018,0.004014802,0.003889572
3/9/2018,0.016740853,0.019751085
3/12/2018,-0.003738225,0.003526825
3/13/2018,-0.007091469,-0.012109757
3/14/2018,-0.002694219,0.000222344
3/15/2018,-0.000742488,0.000216445
3/16/2018,0.000574004,-0.001163872
3/19/2018,-0.008457334,-0.019644927
3/20/2018,0.007981593,0.001009395
3/21/2018,-0.001042644,-0.004367646
3/22/2018,-0.028536386,-0.026848212
3/23/2018,-0.017578633,-0.026665189
3/26/2018,0.029196926,0.037955382
3/27/2018,-0.027010372,-0.033940251
3/28/2018,-0.012278197,-0.009874752
3/29/2018,0.018329012,0.021380321
4/2/2018,-0.022095196,-0.024089846
4/3/2018,0.008353032,0.009046505
4/4/2018,0.010211893,0.01324218
4/5/2018,0.004496762,0.004220887
4/6/2018,-0.019331019,-0.024160305
4/9/2018,0.003461544,0.006814962
4/10/2018,0.019643966,0.024590891
4/11/2018,0.000746736,-0.004113521
4/12/2018,0.00930377,0.01245986
4/13/2018,-0.006112157,-0.003969252
4/16/2018,0.009206623,0.006929217
4/17/2018,0.01963357,0.020754705
4/18/2018,0.003332646,-0.001683905
4/19/2018,-0.006970754,-0.011759198
4/20/2018,-0.006048262,-0.014006827
4/23/2018,-0.005029142,-0.004158247
4/24/2018,-0.015175068,-0.018898505
4/25/2018,-0.005134358,-0.001601533
4/26/2018,0.014636558,0.020303895
4/27/2018,-0.003168342,-0.004233747
4/30/2018,-0.006858783,-0.003959596
5/1/2018,-0.001733327,0.012050824
5/2/2018,-0.006043897,0.000283655
5/3/2018,0.005605422,0.003125482
5/4/2018,0.009179299,0.018835806
5/7/2018,0.004899782,0.008649653
5/8/2018,0.003116662,0.00380933
5/9/2018,0.013768198,0.013124188
5/10/2018,0.006168311,0.011901612
5/11/2018,0.00068206,-0.002888108
5/14/2018,-0.001573033,-0.001253001
5/15/2018,-0.002830692,-0.00870032
5/16/2018,0.002958014,0.005244817
5/17/2018,0.005310543,-0.004942233
5/18/2018,-0.000533806,-0.003860436
5/21/2018,0.009244778,0.007809869
5/22/2018,-0.006779702,-0.00236232
5/23/2018,0.001853754,0.00770894
5/24/2018,0.003859686,-0.000711354
5/25/2018,-0.005845671,0.000221727
5/29/2018,-0.005248161,-0.005635282
5/30/2018,0.012084511,0.007368557
5/31/2018,-0.004006644,-0.001036632
6/1/2018,0.011119416,0.018084089
6/4/2018,0.004965778,0.008377521
6/5/2018,0.003213535,0.005479934
6/6/2018,0.005368102,0.005771989
6/7/2018,-0.008775423,-0.011314885
6/8/2018,0.00305993,0.000159029
6/11/2018,0.001738707,-0.000107895
6/12/2018,0.001844796,0.006707255
6/13/2018,-0.000618907,-0.001957587
6/14/2018,0.000571922,0.005352944
6/15/2018,-0.005131564,-0.003795141
6/18/2018,0.004024437,0.001478689
6/19/2018,-0.001564729,-0.006920415
6/20/2018,0.007817414,0.002769297
6/21/2018,-0.009892684,-0.008856519
6/22/2018,-0.010330747,-0.005298588
6/25/2018,-0.018913292,-0.023138342
6/26/2018,0.005567431,0.005288456
6/27/2018,-0.016839557,-0.015337674
6/28/2018,0.009350854,0.011427181
6/29/2018,-0.001161925,0.00060452
7/2/2018,0.010010134,0.010475934
7/3/2018,-0.00443596,-0.011133556
7/5/2018,0.005545723,0.013131479
7/6/2018,0.011322561,0.011924144
7/9/2018,0.0050696,0.008668816
7/10/2018,0.000331191,0.002026532
7/11/2018,-0.002707476,-0.00527419
7/12/2018,0.011473787,0.01697145
7/13/2018,0.000311684,-0.001265617
7/16/2018,-0.001196407,-0.003476447
7/17/2018,0.007655395,0.008141884
7/18/2018,-0.00039199,-0.000574873
7/19/2018,-0.000998982,-0.001049886
7/20/2018,0.002427563,-0.000687616
7/23/2018,0.001789107,0.003943924
7/24/2018,-0.006883842,-0.00151565
7/25/2018,0.015097004,0.014420528
7/26/2018,-0.003507561,-0.00346036
7/27/2018,-0.019939195,-0.019459656
7/30/2018,-0.023737469,-0.01793727
7/31/2018,0.007242416,0.003021217
8/1/2018,0.002831899,0.011494056
8/2/2018,0.009118937,0.014443044
8/3/2018,-0.001792148,0.002567859
8/6/2018,0.004243097,0.005900393
8/7/2018,0.000862491,0.003993372
8/8/2018,0.000102393,0.001914476
8/9/2018,0.000310395,0.000927954
8/10/2018,-0.001727734,-0.006544517
8/13/2018,-0.003201492,-0.001871925
8/14/2018,0.009436381,0.006550194
8/15/2018,-0.009592343,-0.008832485
8/16/2018,0.004542573,0.006149666
8/17/2018,0.005702305,0.003521748
8/20/2018,0.003768702,-0.000928148
8/21/2018,0.005697232,0.002171356
8/22/2018,0.001359368,0.005101229
8/23/2018,-0.000624133,0.003181637
8/24/2018,0.004518992,0.011451295
8/27/2018,0.004276254,0.007685812
8/28/2018,0.00192604,0.004766327
8/29/2018,0.004589415,0.009583052
8/30/2018,-0.00254418,-0.002420377
8/31/2018,0.003642734,0.005300829
9/4/2018,0.000938963,0.001432334
9/5/2018,-0.00471785,-0.015560247
9/6/2018,0.000583522,-0.005353883
9/7/2018,-0.000768215,-0.003065893
9/10/2018,0.003534781,0.003681798
9/11/2018,0.003863507,0.00633128
9/12/2018,-0.000789215,-0.001944822
9/13/2018,7.52E-05,0.01155857
9/14/2018,0.003480197,0.000936857
9/17/2018,-0.011255984,-0.015117655
9/18/2018,0.003710341,0.006572344
9/19/2018,-0.013362654,-0.00493818
9/20/2018,0.001991001,0.010820896
9/21/2018,-0.004897756,-0.001582028
9/24/2018,0.000350603,0.003676121
9/25/2018,0.003349353,0.000347321
9/26/2018,-0.003377337,-0.004708247
9/27/2018,0.001907575,0.004978937
9/28/2018,0.002853879,0.004465154
10/1/2018,-0.004297032,0.00182734
10/2/2018,-0.009938238,-0.001280463
10/3/2018,-0.00032545,0.004390555
10/4/2018,-0.012696423,-0.017589655
10/5/2018,-0.004675717,-0.013147358
10/8/2018,-0.006809889,-0.01312367
10/9/2018,0.001209073,0.002619341
10/10/2018,-0.026961982,-0.04644923
10/11/2018,-0.012238973,-0.013966496
10/12/2018,0.014813521,0.03082993
10/15/2018,-0.00185907,-0.014317897
10/16/2018,0.023646688,0.031087081
10/17/2018,-0.005413529,-0.003534387
10/18/2018,-0.008313252,-0.020191456
10/19/2018,-0.00884402,-0.002874553
10/22/2018,0.007936965,0.008116129
10/23/2018,-0.007881014,-0.003758533
10/24/2018,-0.028039793,-0.044877796
10/25/2018,0.010975965,0.032119409
10/26/2018,-0.010160757,-0.020062011
10/29/2018,-0.002567081,-0.01651479
10/30/2018,0.014106479,0.012821122
10/31/2018,0.006382257,0.024420976
11/1/2018,0.00725842,0.013701451
11/2/2018,-0.001694983,-0.018200391
11/5/2018,0.005438565,-0.002385482
11/6/2018,0.005668257,0.006084562
11/7/2018,0.017702496,0.028675334
11/8/2018,0.002356536,-0.001837243
11/9/2018,-0.001994212,-0.017251669
11/12/2018,-0.01219746,-0.034405258
11/13/2018,-0.002503786,0.000440834
11/14/2018,-0.006633617,-0.010857368
11/15/2018,0.004629767,0.025035787
11/16/2018,0.004976087,-0.001419681
11/19/2018,-0.016992905,-0.039395575
11/20/2018,-0.018977304,-0.020333454
11/21/2018,0.00455162,0.008429218
11/23/2018,-0.001228283,-0.006689454
11/26/2018,0.007106147,0.021711697
11/27/2018,0.002291215,0.000795305
11/28/2018,0.019663282,0.034905422
11/29/2018,0.001373795,-0.007893941
11/30/2018,0.002958284,0.009891701
12/3/2018,0.008883076,0.021075978
12/4/2018,-0.0208249,-0.038438794
12/6/2018,0.002553237,0.003009982
12/7/2018,-0.017778942,-0.034572822
12/10/2018,0.001599741,0.013239776
12/11/2018,0.002213388,0.00045806
12/12/2018,0.003029401,0.008970258
12/13/2018,-0.000554821,6.57E-05
12/14/2018,-0.012732145,-0.023332318
12/17/2018,-0.026046174,-0.023143931
12/18/2018,0.001047638,0.008354245
12/19/2018,-0.010049165,-0.020318493
12/20/2018,-0.013067959,-0.017084759
12/21/2018,-0.016352279,-0.03092232
12/24/2018,-0.026456348,-0.025737372
12/26/2018,0.037605638,0.06039114
12/27/2018,0.007020751,0.008227009
12/28/2018,0.001679378,-0.002055932
12/31/2018,0.009148737,0.010051312
1/2/2019,-0.00987153,0.000601765
1/3/2019,-0.01311205,-0.049422653
1/4/2019,0.023322396,0.043481156
1/7/2019,0.007847022,0.011175217
1/8/2019,0.013572225,0.009612654
1/9/2019,0.004810582,0.012484371
1/10/2019,0.006937796,0.00467408
1/11/2019,1.96E-05,-0.000583847
1/14/2019,-0.006491999,-0.009888143
1/15/2019,0.010849463,0.014750545
1/16/2019,0.001144438,0.001040481
1/17/2019,0.006068114,0.007636528
1/18/2019,0.008254332,0.014872122
1/22/2019,-0.007760917,-0.016465777
1/23/2019,0.003635331,0.002358634
1/24/2019,0.002823813,0.010273516
1/25/2019,0.005025334,0.015511694
1/28/2019,-0.005087938,-0.012478719
1/29/2019,0.000141731,-0.010026518
1/30/2019,0.009735155,0.028727431
1/31/2019,0.00795394,0.002057214
2/1/2019,0.002980234,0.006769003
2/4/2019,0.004072816,0.015713395
2/5/2019,0.00280696,0.008254271
2/6/2019,-0.002714502,0.003498831
2/7/2019,-0.002862273,-0.013521328
2/8/2019,0.004693673,0.006471153
2/11/2019,0.001542251,0.000542457
2/12/2019,0.008143077,0.013554079
2/13/2019,0.001332182,0.001542801
2/14/2019,0.003921244,0.002344369
2/15/2019,0.005254451,0.007639239
2/19/2019,0.000788174,0.000790417
2/20/2019,0.000460155,0.001423852
2/21/2019,-0.00082904,-0.000211052
2/22/2019,0.006762129,0.013354665
2/25/2019,-0.000802339,0.004665161
2/26/2019,-0.000339244,0.001604217
2/27/2019,0.002702738,0
2/28/2019,-0.00206063,-0.003197847
3/1/2019,0.002567018,0.006410747
3/4/2019,-0.004916445,-0.00575084
3/5/2019,-0.000523632,-0.003364502
3/6/2019,-0.006516053,-0.006477706
3/7/2019,-0.00355821,-0.008665674
3/8/2019,-0.000599937,0.000105721
3/11/2019,0.009695863,0.021954178
3/12/2019,0.001446154,0.004943272
3/13/2019,0.003316159,0.006257043
3/14/2019,0.000803203,0.001986573
3/15/2019,0.002380118,0.011234929
3/18/2019,0.002935568,0.003820262
3/19/2019,-0.000339707,0.002403057
3/20/2019,-0.001237766,-0.003046784
3/21/2019,0.01057709,0.024920155
3/22/2019,-0.015450199,-0.025409802
3/25/2019,0.002352375,-0.004072305
3/26/2019,0.005795088,0.00580866
3/27/2019,-0.003855064,-0.006277989
3/28/2019,0.005185363,0.004197562
3/29/2019,0.005793685,0.010115852
4/1/2019,0.008501725,0.014005661
4/2/2019,0.000745423,0.002853592
4/3/2019,0.003247809,0.008427967
4/4/2019,-0.004377934,-0.005346361
4/5/2019,0.003285517,0.004741825
4/8/2019,0.000123916,0.003986677
4/9/2019,-0.003519463,-0.004598628
4/10/2019,0.005370862,0.007978382
4/11/2019,0.001704191,-0.000483256
4/12/2019,0.005440275,0.006473678
4/15/2019,-0.000962961,0
4/16/2019,-0.00086368,0.004318366
4/17/2019,-0.005051002,0.003584843
4/18/2019,0.000926219,0.001811103
4/22/2019,0.000176229,0.003089836
4/23/2019,0.004817157,0.011512501
4/24/2019,0.000511104,0.000656434
4/25/2019,-0.000506054,-0.001262682
4/26/2019,0.001922015,-0.002108777
4/29/2019,0.000411668,0.000653271
4/30/2019,0.002322289,0.001785432
5/1/2019,-0.004995327,-0.00384097
5/2/2019,0.001861062,-0.004609094
5/3/2019,0.005477697,0.009828475
5/6/2019,-0.001081892,-0.00674
5/7/2019,-0.009946062,-0.021245756
5/8/2019,0.007222529,-0.001830889
5/9/2019,-0.000914798,-0.006701861
5/10/2019,0.003053277,0.002813414
5/13/2019,-0.012322415,-0.038777405
5/14/2019,0.007811887,0.016769263
5/15/2019,0.002702944,0.010255741
5/16/2019,0.01063579,0.010347945
5/17/2019,-0.001384358,-0.009950503
5/20/2019,-0.002154571,-0.017503176
5/21/2019,0.004453526,0.013672707
5/22/2019,-0.001071035,-0.006051837
5/23/2019,-0.008569823,-0.01817736
5/24/2019,0.002201781,0.000807724
5/28/2019,-0.000961173,-0.003122096
5/29/2019,-0.006371637,-0.006727138
5/30/2019,0.004244367,0.005903992
5/31/2019,-0.003980949,-0.016088706
6/3/2019,-0.00049949,-0.018204771
6/4/2019,0.011257909,0.033210638
6/5/2019,0.009492893,0.012925624
6/6/2019,0.004388368,0.011062775
6/7/2019,0.007292391,0.017471303
6/10/2019,0.00103912,0.010948625
6/11/2019,-0.002151671,-0.001206719
6/12/2019,0.002365362,-0.004335223
6/13/2019,0.002149129,0.002901033
6/14/2019,-0.001039766,-0.008972782
6/17/2019,-0.001597667,0.001995476
6/18/2019,0.005657295,0.016766498
6/19/2019,0.0056541,0.004823645
6/20/2019,0.006935378,0.013795142
6/21/2019,-0.005594986,-0.005278871
6/24/2019,3.00E-06,-0.000854667
6/25/2019,-0.006820819,-0.017515765
6/26/2019,-0.006363642,0.009587252
6/27/2019,0.006389252,0.004632786
6/28/2019,0.006135306,0.00194638
