Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
KVUE,-0.04030712,-0.20666666,0.02034643
KWEB,0.10608822,0.61482821,0.02299779
LAD,0.04317103,0.28945602,0.02660661
LDOS,0.32164089,2.03557334,0.02511395
LEN,0.18581313,1.34954140,0.02882101
LH,0.23926933,1.13140666,0.01876425
LHX,0.26639052,1.31051298,0.01952190
LI,-0.14377179,-1.45776073,0.04023574
LII,0.26743931,1.75720883,0.02607340
LIN,0.33259005,1.30762806,0.01560179
LITE,0.22769360,2.58485580,0.04504898
LKQ,0.26326098,1.51253307,0.02279911
LLY,-0.24227660,-1.65719795,0.02714328
LMT,0.10259534,0.44782016,0.01732110
LNG,0.69695726,3.49310989,0.01988866
LNT,0.20883738,0.89410488,0.01698946
LOW,0.30525097,1.40948779,0.01832330
LPLA,0.28119888,1.58174597,0.02232146
LQD,-0.00916456,-0.01369665,0.00593065
LRCX,0.30970793,2.66967298,0.03420623
LSCC,0.10457192,1.09585696,0.04158515
LULU,0.01851115,0.14808303,0.03174470
LUV,-0.14897669,-0.95454915,0.02542608
LVS,-0.38819105,-2.88258075,0.02946697
LW,-0.19534476,-2.34638092,0.04766463
LYB,0.29714428,1.54335055,0.02061089
LYFT,-0.02704881,-0.33206613,0.04871647
LYV,0.24667643,1.22710684,0.01974032
MA,0.04182420,0.16846615,0.01598396
MAA,-0.00894358,-0.04565680,0.02025785
MANH,0.06339636,0.45192836,0.02828816
MAR,0.05565912,0.25930310,0.01848719
MAS,0.43887133,2.24570873,0.02030559
MASI,0.08169886,0.59905423,0.02909709
MBB,-0.00032060,-0.00044137,0.00546310
MBLY,-0.24422331,-5.01784811,0.08153233
MCD,-0.24483969,-1.00676550,0.01631721
MCHI,0.02964757,0.13184280,0.01764683
MCHP,0.05807612,0.51590498,0.03525101
MCK,0.24201141,1.16860728,0.01916162
MCO,0.04277313,0.20549585,0.01906477
MDB,0.07197111,0.89975331,0.04960948
MDGL,-0.10986661,-1.30619787,0.04717834
MDLZ,-0.13957620,-0.66693210,0.01896137
MDT,0.57112442,2.41292344,0.01676534
MDY,0.27363687,1.00307091,0.01454643
MEDP,0.03465720,0.25796709,0.02953726
MELI,0.13415934,1.05685460,0.03126035
MET,0.29327803,1.52642885,0.02065363
META,0.08955895,0.62122858,0.02752592
MGK,0.08072185,0.34419422,0.01692045
MGM,-0.07845700,-0.58367895,0.02952173
MHK,0.40007270,2.79335771,0.02770685
MINT,0.70800861,0.06523134,0.00036561
MKC,-0.17372204,-0.82917975,0.01894058
MKSI,0.36783739,3.22955021,0.03484060
MKTX,-0.08722332,-0.52579618,0.02392127
MLM,0.29172060,1.56056875,0.02122830
MMC,0.12027505,0.47133031,0.01555068
MMM,0.45615017,2.14176220,0.01863215
MNDY,0.10153727,1.31092295,0.05123316
MNST,-0.27473437,-1.40860961,0.02034591
MO,-0.07750470,-0.29922394,0.01532032
MOAT,0.17427975,0.53693513,0.01222572
MOD,0.28936994,3.47135695,0.04760421
MOH,-0.00424802,-0.03248001,0.03034091
MOS,0.35016009,2.80700335,0.03181088
MPC,0.30064734,1.94712536,0.02570017
MPLX,0.26755057,1.28186077,0.01901229
MPWR,0.13383126,1.40088098,0.04153777
MRK,-0.06282291,-0.29848171,0.01885381
MRNA,-0.25479789,-4.58237265,0.07136644
MRVL,0.23199446,2.47706903,0.04237015
MS,0.45628644,2.59030773,0.02252751
MSCI,0.13831797,0.66568556,0.01909809
MSFT,0.13042019,0.63914361,0.01944702
MSI,0.07820421,0.31791700,0.01613181
MSTR,0.30638639,7.67089692,0.09935189
MTB,0.18744033,1.08752045,0.02302363
MTCH,0.03696811,0.29725406,0.03190803
MTD,0.24969638,1.54038867,0.02448034
MTUM,0.30540447,1.12790970,0.01465542
MTZ,0.31544845,2.63200753,0.03310992
MU,0.40268428,5.06533547,0.04991637
MUB,-0.12122122,-0.10563533,0.00345804
MUSA,-0.14909130,-0.88724985,0.02361528
NBIX,0.17075256,0.99156765,0.02304383
NCLH,0.12890307,1.21220992,0.03731763
NDAQ,0.10978565,0.47884705,0.01730815
NEE,-0.04870168,-0.24932343,0.02031508
NEM,0.33681723,2.10958380,0.02485432
NET,0.11475992,1.04896539,0.03627191
NFLX,-0.12893668,-0.78780864,0.02424620
NI,0.29546719,1.21179598,0.01627495
NICE,-0.13488068,-1.06053582,0.03120147
NIO,-0.07007422,-0.96496831,0.05464548
NKE,-0.15921460,-0.97699218,0.02435049
NLY,0.28449086,1.29228085,0.01802553
NOC,0.17472487,0.79521348,0.01806045
NOW,0.06922142,0.43612427,0.02500168
NRG,0.35331005,3.10966123,0.03492662
NSC,0.22964788,1.14518926,0.01978856
NTAP,0.22091018,1.44320685,0.02592461
NTES,0.51576955,3.37130844,0.02593834
NTNX,0.20003100,1.59686084,0.03167884
NTR,0.56660269,3.37633351,0.02364646
NTRA,-0.02267704,-0.22447429,0.03928075
NTRS,0.19120645,0.96920481,0.02011465
NU,0.21019808,2.10598244,0.03975809
NUE,0.25851471,2.17812635,0.03343469
NVDA,0.00279025,0.02909802,0.04138272
NVDL,-0.00325260,-0.06883883,0.08398505
NVO,-0.29008563,-2.58532139,0.03536615
NVR,0.18617442,1.17494837,0.02504369
NVS,0.03583835,0.10926614,0.01209865
NVT,0.20408098,1.48166971,0.02881034
NXPI,0.15643295,1.12177032,0.02845609
NXT,0.24599586,3.00680936,0.04850400
O,0.22029611,0.97036281,0.01747941
OC,0.30761568,2.06335839,0.02661740
ODFL,0.28683044,1.94357337,0.02688903
OKE,0.32242514,1.74229619,0.02144335
OKTA,0.31643774,2.61654151,0.03281246
OLLI,-0.02129045,-0.19392572,0.03614515
OMC,-0.04998576,-0.29245212,0.02321710
ON,-0.25101288,-2.86861850,0.04534989
ONON,0.14033595,1.22099218,0.03452577
ONTO,0.67609248,6.05502433,0.03553933
ORCL,-0.09936400,-0.66115575,0.02640427
ORLY,0.14595421,0.61711340,0.01677829
OTIS,0.16903823,0.69081427,0.01621720
OVV,0.35458912,2.41059744,0.02697732
OWL,0.10176557,0.80192130,0.03127018
OXY,0.18872013,1.08981025,0.02291565
PAAS,0.01325211,0.12083084,0.03618198
PANW,-0.05824571,-0.46806729,0.03188921
PATH,0.02371115,0.27271876,0.04564170
PAYC,0.13289703,0.97765864,0.02919251
PAYX,0.28580008,1.40727321,0.01953959
