

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
         11   NDAQ    -0.4360        -27.2434      0.0160
         11   RIVN    -0.8123        -28.2277      0.0288
         11    BAM    -0.7894        -28.4322      0.0278
         11   ARES    -0.9109        -28.9324      0.0315
         11    SYF    -0.7145        -30.1168      0.0237
         11     BX    -0.7097        -30.8927      0.0230
         11    CMG    -0.5895        -30.9045      0.0191
         11     CM    -0.4590        -31.4724      0.0146
         11    TPG    -1.0215        -33.2174      0.0307
         11   CAVA    -1.5581        -34.1982      0.0456
         11    KNX    -0.6742        -39.0558      0.0173
         11    LYV    -1.0168        -39.7698      0.0256
         11    SPG    -0.7180        -39.9444      0.0180
         11   BIRK    -1.0823        -41.8977      0.0258
         11    BNS    -0.4226        -47.2917      0.0089
         12    ICE     0.7448         82.1849      0.0091
         12    PFG    -0.0011         -0.0698      0.0161
         12   REXR    -0.0197         -1.3025      0.0151
         12    MET    -0.0575         -2.9304      0.0196
         12    PRU    -0.1954        -10.8845      0.0180
         12    XLF    -0.1650        -12.5789      0.0131
         12    BLK    -0.2478        -14.7448      0.0168
         12   SPGI    -0.2312        -16.5813      0.0139
         12    BAC    -0.3510        -16.8452      0.0208
         12    KRE    -0.3854        -22.5272      0.0171
         12   NWSA    -0.3436        -23.0897      0.0149
         12   KBWB    -0.4623        -24.7149      0.0187
         12    JPM    -0.5283        -27.9608      0.0189
         12   HBAN    -0.5245        -28.6127      0.0183
         12    MTB    -0.4755        -29.9677      0.0159
         12    FDX    -0.4959        -30.4673      0.0163
         12    SSB    -0.5076        -32.2101      0.0158
         12    STT    -0.6170        -33.5799      0.0184
         12    PNC    -0.5757        -34.4342      0.0167
         12    USB    -0.6533        -34.9335      0.0187
         12     RF    -0.5636        -35.7643      0.0158
         12    TFC    -0.6287        -35.9874      0.0175
         12    MCO    -0.5986        -37.8145      0.0158
         12    WMT    -0.7692        -39.7481      0.0194
         12   FITB    -0.7034        -40.9976      0.0172
         13   MUFG     1.7069         98.7690      0.0173
         13   SMFG     1.0761         67.0414      0.0161
         13    MFG     1.0355         57.6638      0.0180
         13    CAH     0.4876         43.7754      0.0111
         13    PGX     0.1422         30.3622      0.0047
         13     TS     0.5240         24.2864      0.0216
         13      X     0.5730         20.8492      0.0275
         13    AEG     0.5072         20.0308      0.0253
         13     BA     0.4076         15.8460      0.0257
         13    RKT     0.8660         15.3682      0.0563
         13   SCHW     0.1999          8.5746      0.0233
         13   STLD     0.1705          7.9632      0.0214
         13    NUE     0.0799          3.6683      0.0218
         13     AS     0.0224          0.6902      0.0325
         13    WFC    -0.0822         -3.4806      0.0236
         13    FHN    -0.1457         -5.4623      0.0267
         13     IP    -0.1604         -7.0189      0.0229
         13   CPNG    -0.1739         -8.5975      0.0202
         13    WAL    -0.3254        -12.5341      0.0260
         13    RCL    -0.3759        -13.7916      0.0273
         13    PFF    -0.0616        -14.5371      0.0042
         13    HQY    -0.3555        -15.2916      0.0232
         13    WBS    -0.4202        -16.2279      0.0259
         13   EWBC    -0.3204        -16.4907      0.0194
         13    KEY    -0.3448        -17.1276      0.0201
         13     MS    -0.4759        -18.2391      0.0261
